k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.13553402262245437,2.4318036772745435,142.28989637803073,10502.592400441408
3,0.2003288350587394,2.0019494222606724,167.0361648396492,8988.241835725448
4,0.18341992050544415,1.8956922966369958,140.99584618579462,8422.906949662865
5,0.1633647200380828,1.8846954130802913,118.02492065416416,8138.506293385818
6,0.15350649013368584,1.8537689728469682,102.61127553345565,7914.766943531967
7,0.2068773292240008,1.7305895456020262,114.29612033816329,7098.025510860218
8,0.19948924269576307,1.805939410304111,100.67954548691746,7015.737241100988
